                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.86047,                0.55932,                0.93381,                0.97535,                  0.941,                0.98601,                0.75232,                0.88611,                0.49979,                0.94272,              0.0011552,              0.0011552,              0.0011552
                     66,                0.85871,                0.55446,                0.94062,                0.95137,                0.93805,                0.98715,                0.73963,                0.91684,                0.51479,                0.94975,               0.001142,               0.001142,               0.001142
                     67,                0.84217,                0.54986,                0.92297,                 0.9667,                0.95575,                0.98323,                0.71862,                0.95372,                0.52245,                0.96332,              0.0011288,              0.0011288,              0.0011288
                     68,                0.84885,                0.54179,                0.92206,                0.95193,                0.93468,                0.97008,                0.71387,                0.97599,                0.56314,                0.97533,              0.0011156,              0.0011156,              0.0011156
                     69,                0.84715,                0.53847,                 0.9342,                0.94879,                0.92907,                0.96861,                0.72589,                0.92245,                0.53867,                0.96158,              0.0011024,              0.0011024,              0.0011024
                     70,                0.83213,                0.52607,                0.92499,                0.94373,                0.89045,                0.95299,                0.71861,                0.93194,                0.54431,                0.96725,              0.0010892,              0.0010892,              0.0010892
                     71,                0.83564,                0.54142,                0.92021,                0.94475,                0.90799,                0.97086,                0.73794,                0.88519,                0.54852,                0.93834,               0.001076,               0.001076,               0.001076
                     72,                 0.8256,                0.53663,                0.91636,                0.96077,                0.93909,                0.97992,                0.75405,                 0.8784,                0.50645,                0.93462,              0.0010628,              0.0010628,              0.0010628
                     73,                0.80786,                0.51924,                0.92692,                0.95656,                 0.9292,                0.96584,                0.74772,                0.88908,                0.54893,                 0.9332,              0.0010496,              0.0010496,              0.0010496
                     74,                0.82462,                0.53087,                0.92968,                0.95131,                 0.9115,                  0.961,                0.71149,                0.95759,                0.56116,                0.95206,              0.0010364,              0.0010364,              0.0010364
                     75,                0.81488,                 0.5354,                0.92395,                0.95103,                 0.9115,                0.96386,                0.74324,                0.88316,                0.52935,                0.92556,              0.0010232,              0.0010232,              0.0010232
                     76,                0.82437,                0.52332,                0.92493,                0.97486,                0.91525,                0.97924,                0.75769,                0.88872,                0.51238,                0.92905,                0.00101,                0.00101,                0.00101
                     77,                0.80636,                0.51379,                0.91928,                0.95756,                 0.9292,                0.96706,                0.74394,                 0.9098,                0.54022,                0.93854,              0.0009968,              0.0009968,              0.0009968
                     78,                 0.8123,                0.52316,                0.92483,                0.97482,                 0.9174,                0.97389,                0.74694,                0.90964,                0.54211,                0.94193,              0.0009836,              0.0009836,              0.0009836
                     79,                0.80942,                0.51145,                 0.9144,                0.96904,                0.92338,                0.97955,                0.75086,                0.89513,                0.52072,                0.93518,              0.0009704,              0.0009704,              0.0009704
                     80,                0.79045,                0.50225,                0.91496,                0.94978,                 0.9292,                0.97633,                0.75077,                0.92113,                0.52664,                0.95518,              0.0009572,              0.0009572,              0.0009572
                     81,                0.80611,                0.50389,                0.91966,                 0.9491,                0.93515,                0.97055,                0.74528,                0.91113,                0.54034,                0.94662,               0.000944,               0.000944,               0.000944
                     82,                0.79382,                0.50102,                0.91849,                0.95997,                0.92035,                0.96993,                0.74501,                0.91605,                0.53697,                0.95139,              0.0009308,              0.0009308,              0.0009308
                     83,                0.81049,                0.49595,                0.91677,                0.97485,                0.93215,                0.98274,                0.77043,                 0.8907,                0.51182,                0.93782,              0.0009176,              0.0009176,              0.0009176
                     84,                 0.8029,                 0.5166,                0.92173,                0.96603,                0.92279,                0.97764,                0.74654,                0.92141,                0.55771,                0.94277,              0.0009044,              0.0009044,              0.0009044
                     85,                0.79424,                0.49271,                0.91705,                0.97286,                0.95158,                0.98633,                0.76108,                0.88955,                0.46943,                0.92819,              0.0008912,              0.0008912,              0.0008912
                     86,                0.78789,                0.50625,                0.91845,                0.98445,                0.93384,                0.98317,                 0.7666,                0.85675,                0.46193,                0.91539,               0.000878,               0.000878,               0.000878
                     87,                0.76121,                0.48035,                0.90601,                0.95797,                 0.9412,                0.98296,                0.77177,                0.88406,                0.51184,                0.93216,              0.0008648,              0.0008648,              0.0008648
                     88,                0.77704,                 0.4881,                0.90371,                 0.9848,                0.95565,                0.98145,                0.75899,                0.87174,                0.45939,                0.93211,              0.0008516,              0.0008516,              0.0008516
                     89,                0.75017,                0.47317,                 0.9049,                0.97307,                0.95938,                0.98538,                 0.7727,                0.88436,                0.44538,                0.93776,              0.0008384,              0.0008384,              0.0008384
                     90,                0.76878,                0.47806,                0.89849,                0.98486,                0.96755,                0.98934,                0.77089,                0.87559,                0.43834,                0.93021,              0.0008252,              0.0008252,              0.0008252
                     91,                0.74977,                0.46798,                0.89363,                0.95892,                 0.9646,                0.98384,                0.76668,                0.87957,                 0.4643,                0.93132,               0.000812,               0.000812,               0.000812
                     92,                0.75642,                0.48682,                0.90892,                0.96745,                0.96434,                0.98874,                0.77237,                0.88098,                0.43927,                0.92724,              0.0007988,              0.0007988,              0.0007988
